真实值,预测值
79.40999935150147,80.3176008462906
80.99999818086626,79.58893558740617
79.70000250339508,81.43840572595597
79.83000051259995,79.64059087276459
79.83000051259995,79.73275267124177
80.29999970912934,80.18316618680954
79.85000180482865,79.69384106636048
79.55999865293504,79.20999681949617
79.54000255584718,79.65803096055986
80.82999758720399,80.02572224855425
79.88999919414522,80.0067651796341
79.7099979543686,80.00282726287843
79.0799988102913,79.7349761915207
78.12999977111818,78.8154466533661
79.0599975180626,78.40383044958115
79.64999927282334,79.19630242824556
80.24000102758409,79.77071876049042
80.18999779701234,79.83057197809221
79.62000252962113,79.91321108341218
79.55999865293504,79.93462545394898
79.45000193595887,79.09016050577165
78.15000106334688,78.7765869998932
77.45000259160996,78.05524688959123
78.11999912500383,77.3893701028824
78.58999832153322,77.84453717231752
77.56999995470048,78.51438304662706
77.7099986100197,77.67536780118944
78.25000232934953,77.82648925304414
78.20999974489213,78.45635332345964
80.4200022673607,78.9464057636261
79.96999916791917,80.83775912761689
79.46999803304674,79.86611193656923
79.13000204086305,79.2579531645775
79.54000255584718,79.2295461344719
79.11000074863435,79.69459955692292
79.1900007224083,78.06618266105653
78.43999902009965,79.1374207019806
78.26999842643738,78.67224259614946
78.59999896764756,78.0878879594803
77.23999941349031,78.39334146022797
79.210002014637,77.31702257156373
77.25000005960466,78.80052620887757
78.57000222444535,77.37696410655977
79.02000012874605,78.07583003759385
78.26999842643738,79.364848382473
80.01000175237657,79.17030594348908
79.51000061750413,79.19428151845933
78.31000101089478,78.53939764976502
79.0599975180626,78.03063750743867
78.989998190403,78.92159377098085
79.1900007224083,79.43025520563127
79.31999873161317,78.04661256551744
79.38999805927277,79.40139619827272
79.47999867916108,80.08332077503205
79.36000131607057,78.81365432977677
78.25000232934953,79.22337430715562
78.10999847888948,78.47191796541215
78.82999824285508,78.21912241220475
78.06000044345856,78.30142383337022
77.7299999022484,77.87681458234788
77.61999799013138,77.98126808404923
77.799999229908,77.65339235544205
79.54999800682069,78.4040382552147
78.70000023365021,80.08848474502564
78.73000217199326,79.38355088949204
78.989998190403,78.68203024148941
79.18000007629395,78.76774487018587
78.86000018119813,80.21929319620133
79.21999746561052,79.34716931819916
79.35000066995622,78.53606756448747
74.71000219106675,78.64494213104248
78.59999896764756,75.21790513515474
77.35000132560731,77.40157348871232
78.39000098466875,78.39926392078401
78.97999754428865,79.01865978240967
78.989998190403,78.96978909254075
77.09000011205674,78.90146779537201
78.27999907255173,77.96137069463731
78.01000240802766,78.07814707040788
78.75999891519548,78.86011447429658
79.55999865293504,79.31812848091127
79.31999873161317,79.56439893722535
78.64000155210496,79.08321979761125
79.0599975180626,78.30655143737793
79.30999808549882,79.1472654938698
78.27999907255173,79.5720046234131
78.04999979734421,78.40127963542939
75.73000055789949,77.66814655542375
77.58000060081483,75.61502170085907
78.10999847888948,77.41240535736085
77.92000178813936,77.72262799739839
79.22999811172487,78.52240953922272
78.16000170946123,78.41117637872696
78.27999907255173,78.51065813064577
78.09999783277513,77.84842313766481
74.55000224351883,77.27769016027452
74.659998960495,75.00015080690385
74.6100009250641,74.10593719005585
75.09000076770783,74.66019637584687
77.11000140428544,76.5109601044655
77.11000140428544,78.04424877643586
77.87999920368196,79.377950527668
77.02000078439714,79.03241651535035
76.11999978065492,77.12809088468552
78.28999971866608,77.2361653995514
76.41999838352204,77.64607240200044
76.83999954462053,77.37533802747727
77.01000013828279,77.09821362972261
76.13000042676927,76.57673058748246
76.02999916076661,76.0192504143715
77.42000065326691,76.87545118570328
77.12000205039979,77.41302877426149
77.35000132560731,77.43350801944733
76.51999964952469,76.33280833482743
76.40999773740769,76.45171991348268
76.24000233888627,76.0382698249817
76.0500004529953,75.88483134031297
75.60999799966812,76.05692557573319
75.90000115156175,75.59177864074708
76.83999954462053,75.82963816404343
76.90999887228013,76.6264221096039
78.12999977111818,77.35659395933152
77.0799994659424,78.64004830837251
77.63999928236008,77.37251187086106
77.87999920368196,77.76071357488634
76.32999776363374,77.38465811014176
76.21000040054322,76.47057307958603
76.499998357296,76.64431417465211
77.23999941349031,76.5418711924553
76.33999840974809,76.78960667848588
76.27999972820282,76.26411298751832
76.18999910831452,76.53721634626389
77.30999874114991,76.22053095102311
74.28000038385392,76.24506240606308
76.99999949216844,74.65298032522202
77.13999814748765,76.35531888008119
74.16999847173692,76.30172580718995
74.80999826192857,74.6784001493454
74.18999976396562,75.83621521234514
78.41999772787095,75.60578993558885
78.02999850511551,78.1242331647873
76.80000215530397,77.1122820711136
76.73999827861788,77.80596844673158
76.38000099420549,77.30242942094804
77.47999933481218,77.31415485382081
76.74999892473222,76.78866116285324
76.21000040054322,76.62042172193529
76.82999889850618,77.7406135749817
76.94000081062318,76.24612221479417
76.30000102043152,76.3456766986847
76.73999827861788,76.35502795219422
75.20999813079835,76.52063345670702
76.88000212907792,75.36861097574234
77.25000005960466,76.16360259771348
77.93000243425371,78.25096862554551
75.63999993801117,77.29481334447861
75.11999751091004,76.98226847648621
75.60999799966812,75.25365809440613
74.17999911785127,75.0476655650139
74.14000172853471,74.00423711299896
76.09999848842622,74.78429270505906
76.22000104665757,75.48512759447098
77.22999876737596,76.52739233493806
77.39999936103821,77.24869088411332
77.80999987602235,77.40115787744523
78.86000018119813,78.64784101963045
79.35000066995622,78.82001318216325
80.11999846935274,79.43303980112077
80.01000175237657,79.68743026256563
80.77999955177309,79.71821147203447
80.72000087022782,80.66932227134706
80.59999831199647,80.23643196582795
80.67999828577042,79.67689971208573
80.11999846935274,79.71267864704133
80.41000162124635,80.15063941001893
80.73000151634217,80.38922625303269
80.74000216245652,80.45192640781404
80.89000146389009,80.77476804494859
80.96000079154969,80.64592855215074
81.1400020313263,80.98834028482437
81.35000001430512,81.24529195070268
81.37000130653382,81.15431464433671
81.62000187397004,81.35405222415925
81.74999988317491,81.6568510079384
83.23999744653703,82.4070085644722
83.01999881744386,83.93625541687013
85.19999940156937,84.19508252859117
84.25000036239625,84.5185943388939
84.04999783039094,84.28033478975297
84.75000149726868,83.61208382368089
84.76999759435655,83.91195774316789
83.25999873876573,82.95225937604906
82.83999757766725,82.84919817209244
83.57999863386155,82.97091512680055
83.46000127077103,83.63303063154221
83.72000248432161,83.37965322256089
83.91999982118608,84.18215701818467
83.86000113964081,83.76928878545762
83.89999852895738,83.35964154005052
83.5699979877472,84.01173042297364
83.64999796152117,83.53306573152543
82.99999752521516,83.34726671457291
83.4999986600876,82.90705645561219
83.6100005722046,83.28943960189821
83.31999742031098,83.3349854016304
83.75999987363817,83.58880439758302
83.33999871253968,83.51881546020509
83.81999855518342,83.31835056066514
84.03000173330308,83.92884195089341
84.05999847650529,84.05769183397294
84.38999901771547,84.38577536821366
84.1700003886223,83.77353321552278
86.21999776840211,85.14056699037553
84.63999958515168,86.52712410449983
84.9100014448166,84.57619806051255
82.75000215291978,84.97724215269089
85.6300012087822,82.79872737884523
